"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B16001_001E","Estimate!!Total"
"B16001_001M","Margin of Error!!Total"
"B16001_002E","Estimate!!Total!!Speak only English"
"B16001_002M","Margin of Error!!Total!!Speak only English"
"B16001_003E","Estimate!!Total!!Spanish or Spanish Creole"
"B16001_003M","Margin of Error!!Total!!Spanish or Spanish Creole"
"B16001_004E","Estimate!!Total!!Spanish or Spanish Creole!!Speak English "very well""
"B16001_004M","Margin of Error!!Total!!Spanish or Spanish Creole!!Speak English "very well""
"B16001_005E","Estimate!!Total!!Spanish or Spanish Creole!!Speak English less than "very well""
"B16001_005M","Margin of Error!!Total!!Spanish or Spanish Creole!!Speak English less than "very well""
"B16001_006E","Estimate!!Total!!French (incl. Patois, Cajun)"
"B16001_006M","Margin of Error!!Total!!French (incl. Patois, Cajun)"
"B16001_007E","Estimate!!Total!!French (incl. Patois, Cajun)!!Speak English "very well""
"B16001_007M","Margin of Error!!Total!!French (incl. Patois, Cajun)!!Speak English "very well""
"B16001_008E","Estimate!!Total!!French (incl. Patois, Cajun)!!Speak English less than "very well""
"B16001_008M","Margin of Error!!Total!!French (incl. Patois, Cajun)!!Speak English less than "very well""
"B16001_009E","Estimate!!Total!!French Creole"
"B16001_009M","Margin of Error!!Total!!French Creole"
"B16001_010E","Estimate!!Total!!French Creole!!Speak English "very well""
"B16001_010M","Margin of Error!!Total!!French Creole!!Speak English "very well""
"B16001_011E","Estimate!!Total!!French Creole!!Speak English less than "very well""
"B16001_011M","Margin of Error!!Total!!French Creole!!Speak English less than "very well""
"B16001_012E","Estimate!!Total!!Italian"
"B16001_012M","Margin of Error!!Total!!Italian"
"B16001_013E","Estimate!!Total!!Italian!!Speak English "very well""
"B16001_013M","Margin of Error!!Total!!Italian!!Speak English "very well""
"B16001_014E","Estimate!!Total!!Italian!!Speak English less than "very well""
"B16001_014M","Margin of Error!!Total!!Italian!!Speak English less than "very well""
"B16001_015E","Estimate!!Total!!Portuguese or Portuguese Creole"
"B16001_015M","Margin of Error!!Total!!Portuguese or Portuguese Creole"
"B16001_016E","Estimate!!Total!!Portuguese or Portuguese Creole!!Speak English "very well""
"B16001_016M","Margin of Error!!Total!!Portuguese or Portuguese Creole!!Speak English "very well""
"B16001_017E","Estimate!!Total!!Portuguese or Portuguese Creole!!Speak English less than "very well""
"B16001_017M","Margin of Error!!Total!!Portuguese or Portuguese Creole!!Speak English less than "very well""
"B16001_018E","Estimate!!Total!!German"
"B16001_018M","Margin of Error!!Total!!German"
"B16001_019E","Estimate!!Total!!German!!Speak English "very well""
"B16001_019M","Margin of Error!!Total!!German!!Speak English "very well""
"B16001_020E","Estimate!!Total!!German!!Speak English less than "very well""
"B16001_020M","Margin of Error!!Total!!German!!Speak English less than "very well""
"B16001_021E","Estimate!!Total!!Yiddish"
"B16001_021M","Margin of Error!!Total!!Yiddish"
"B16001_022E","Estimate!!Total!!Yiddish!!Speak English "very well""
"B16001_022M","Margin of Error!!Total!!Yiddish!!Speak English "very well""
"B16001_023E","Estimate!!Total!!Yiddish!!Speak English less than "very well""
"B16001_023M","Margin of Error!!Total!!Yiddish!!Speak English less than "very well""
"B16001_024E","Estimate!!Total!!Other West Germanic languages"
"B16001_024M","Margin of Error!!Total!!Other West Germanic languages"
"B16001_025E","Estimate!!Total!!Other West Germanic languages!!Speak English "very well""
"B16001_025M","Margin of Error!!Total!!Other West Germanic languages!!Speak English "very well""
"B16001_026E","Estimate!!Total!!Other West Germanic languages!!Speak English less than "very well""
"B16001_026M","Margin of Error!!Total!!Other West Germanic languages!!Speak English less than "very well""
"B16001_027E","Estimate!!Total!!Scandinavian languages"
"B16001_027M","Margin of Error!!Total!!Scandinavian languages"
"B16001_028E","Estimate!!Total!!Scandinavian languages!!Speak English "very well""
"B16001_028M","Margin of Error!!Total!!Scandinavian languages!!Speak English "very well""
"B16001_029E","Estimate!!Total!!Scandinavian languages!!Speak English less than "very well""
"B16001_029M","Margin of Error!!Total!!Scandinavian languages!!Speak English less than "very well""
"B16001_030E","Estimate!!Total!!Greek"
"B16001_030M","Margin of Error!!Total!!Greek"
"B16001_031E","Estimate!!Total!!Greek!!Speak English "very well""
